# nonlinearity_BaTiO3.csv - produced by scripts/check_shear_nonlinearity.py
# (A5' scope cut, 2026-07-18; q-convention + degenerate-pairing fixed 2026-07-20,
# see G1' incident log in data/processed/reports/GATE_1p.md)
# BZ-weighted <gamma_xy>=0.000537 rms(gamma_xy)=1.417241 |<gamma_xy>|/rms=0.000379 (pass)
# off-grid 11^3: non-degenerate 17967 stable, 6659 flagged (37.1%); degenerate 933 stable, 478 flagged (51.2%)
# on-grid 4^3 (exact): non-degenerate 626 stable, 227 flagged (36.3%); degenerate 284 stable, 126 flagged (44.4%)
# eta_44 sensitivity @ 300K: Delta_eta/eta = +0.1045(+)/+0.0931(-), worst=0.1045
# DECISION (omega-space): FAIL
# omega^2 basis: BZ <gamma_omega2>=0.000564 rms=1.410568 |mean|/rms=0.000400; on-grid non-degenerate flag rate=24.1%; eta_44 sensitivity worst=0.3951
# DECISION (omega^2-space, task 2 criteria): FAIL
q_index,qx,qy,qz,branch,omega_ref_cm1,gamma_xy,a1_linear,a2_curvature,curvature_over_rms_gamma,D_domega2,b2_curvature_omega2,gamma_omega2,a2_pred_sqrt,unstable_flag,degenerate_flag,flag_gt_threshold
6,0.000000,0.000000,0.545500,4,108.7407,-4.5165,491.1250,-1305.2400,0.0423,106778.5273,-42619.1361,-4.5151,-1108.4119,0,1,0
6,0.000000,0.000000,0.545500,5,150.9878,0.0005,-0.0750,195.8000,0.0046,-22.6489,59127.7764,0.0005,-0.0000,0,0,0
6,0.000000,0.000000,0.545500,6,199.9650,-0.1211,24.2236,-17093.3600,0.3016,9667.0396,-6828254.9458,-0.1209,-1.4609,0,1,1
6,0.000000,0.000000,0.545500,7,199.9650,0.1052,-21.0423,2126.5800,0.0375,-8417.6830,851038.8317,0.1053,-1.1077,0,1,0
6,0.000000,0.000000,0.545500,8,274.4183,-0.0007,0.1939,-51.6200,0.0007,106.4189,-28330.8364,-0.0007,-0.0001,0,0,0
6,0.000000,0.000000,0.545500,9,324.5052,-0.0030,0.9671,-1189.1000,0.0129,627.6004,-771701.9253,-0.0030,-0.0014,0,0,0
6,0.000000,0.000000,0.545500,10,333.4565,1.6633,-554.6411,2857.9000,0.0302,-369976.6608,2213801.8367,1.6637,-461.4673,0,1,0
6,0.000000,0.000000,0.545500,11,333.4565,-1.6703,556.9734,2744.5600,0.0290,371529.2791,2140790.6519,-1.6706,-465.3486,0,1,0
6,0.000000,0.000000,0.545500,12,435.1948,2.5899,-1127.1180,248.2800,0.0020,-981045.8291,1486496.8683,2.5900,-1459.6121,0,1,0
6,0.000000,0.000000,0.545500,13,435.1948,-2.5949,1129.3072,6109.4800,0.0495,983282.2680,6593896.0301,-2.5959,-1466.2744,0,1,0
6,0.000000,0.000000,0.545500,14,518.4645,-0.0003,0.1548,895.3600,0.0061,160.5235,928444.8510,-0.0003,-0.0000,0,0,0
6,0.000000,0.000000,0.545500,15,656.2902,-0.0003,0.1693,-2539.3000,0.0137,222.1984,-3332873.9514,-0.0003,-0.0000,0,0,0
7,0.000000,0.000000,0.636400,1,-158.5864,-2.9399,-466.2274,19468.0000,0.4331,-147420.7990,5947875.9550,nan,nan,1,1,0
7,0.000000,0.000000,0.636400,2,-158.5864,2.8570,453.0797,15935.1000,0.3545,143343.5391,4842550.0249,nan,nan,1,1,0
7,0.000000,0.000000,0.636400,3,103.1437,3.8359,-395.6533,-3738.2600,0.1279,-81544.3418,-614265.0748,3.8325,-757.4771,0,1,1
7,0.000000,0.000000,0.636400,4,103.1437,-3.8418,396.2582,-2929.1600,0.1002,81685.0426,-447013.7694,-3.8391,-760.0933,0,1,1
7,0.000000,0.000000,0.636400,5,141.8722,0.0049,-0.6939,1215.6200,0.0302,-196.9324,344962.7072,0.0049,-0.0017,0,0,0
7,0.000000,0.000000,0.636400,6,194.2077,0.6703,-130.1804,-8309.7200,0.1510,-50509.9752,-3208949.4299,0.6696,-43.5377,0,1,1
7,0.000000,0.000000,0.636400,7,194.2077,-0.6813,132.3213,1895.3000,0.0344,51408.1611,753762.3092,-0.6815,-45.0998,0,1,0
7,0.000000,0.000000,0.636400,8,261.3945,-0.0102,2.6780,-2077.6000,0.0280,1399.7505,-1086031.1613,-0.0102,-0.0137,0,0,0
7,0.000000,0.000000,0.636400,9,319.2180,-0.0033,1.0617,-1095.2200,0.0121,677.7693,-699196.6603,-0.0033,-0.0018,0,0,0
7,0.000000,0.000000,0.636400,10,324.3633,1.2684,-411.4122,-7971.0800,0.0867,-266730.0916,-5000203.6378,1.2676,-260.5906,0,1,0
7,0.000000,0.000000,0.636400,11,324.3633,-1.2741,413.2797,-8392.8200,0.0913,267932.1295,-5272084.9737,-1.2733,-262.9447,0,1,0
7,0.000000,0.000000,0.636400,12,441.7564,2.3353,-1031.6523,709.8200,0.0057,-911514.7009,1691454.1710,2.3354,-1204.7272,0,1,0
7,0.000000,0.000000,0.636400,13,441.7564,-2.3399,1033.6565,3821.9800,0.0305,913446.3537,4445579.4748,-2.3404,-1209.8386,0,1,0
7,0.000000,0.000000,0.636400,14,505.9333,-0.0024,1.2160,2840.4000,0.0198,1230.6024,2874308.9752,-0.0024,-0.0015,0,0,0
