# partition_overlap_shell_SrTiO3.csv - scripts/scan_partition_sensitivity.py
# Per-mode Route S vs Route H comparison over the 150-200 cm-1 shell at 300 K.
# gamma_S = -D/(2*omega0^2); gamma_H = -D/(2*omega_r^2), omega_r from the
# 300 K bare->renormalized eigenvalue map; rel_diff = (gamma_H-gamma_S)/|gamma_S|.
q_index,branch,omega0_cm1,omega_r_cm1,D_cm2,gamma_S,gamma_H,rel_diff
150,4,170.5950,202.1966,-170694.9530,2.932636,2.087580,-0.288156
150,5,172.8668,195.9237,-114336.0675,1.913065,1.489291,-0.221516
150,6,189.2145,215.7782,-132753.8152,1.853994,1.425613,-0.231058
151,4,159.7666,195.8256,7384.1806,-0.144644,-0.096279,0.334369
151,5,173.5131,196.5100,-185648.5714,3.083166,2.403765,-0.220358
151,6,175.9483,209.8659,-70574.0363,1.139843,0.801182,-0.297112
152,6,175.3578,207.2995,96166.2111,-1.563661,-1.118913,0.284427
153,6,173.5524,196.8089,-69052.2758,1.146270,0.891371,-0.222372
153,7,173.8422,198.6430,224861.7402,-3.720277,-2.849304,0.234115
154,5,154.1963,181.2508,24249.1893,-0.509940,-0.369069,0.276251
154,6,154.2438,181.2716,260206.6862,-5.468561,-3.959398,0.275971
154,7,182.3716,213.2785,285075.0657,-4.285632,-3.133540,0.268827
155,5,168.3959,194.8630,68564.4258,-1.208942,-0.902838,0.253200
155,6,172.2358,197.4312,219860.5158,-3.705703,-2.820238,0.238946
155,7,187.9721,213.3861,23787.5282,-0.336614,-0.261208,0.224013
156,4,159.7666,195.8256,-102262.7459,2.003159,1.333364,-0.334369
156,5,173.5131,196.5100,-32979.4583,0.547708,0.427016,-0.220358
156,6,175.9483,209.8659,262133.8488,-4.233729,-2.975839,0.297112
157,5,170.8561,201.3811,-214057.4151,3.666397,2.639142,-0.280181
157,6,194.1189,222.7237,49479.9188,-0.656543,-0.498731,0.240369
158,5,167.1975,196.8728,-326814.1086,5.845357,4.215990,-0.278746
159,5,164.4916,190.9817,-365532.5307,6.754736,5.010865,-0.258170
160,5,164.4916,190.9817,-365532.5307,6.754736,5.010865,-0.258170
161,5,167.1975,196.8728,-326814.1086,5.845357,4.215990,-0.278746
162,5,170.8561,201.3811,-214057.4151,3.666397,2.639142,-0.280181
162,6,194.1189,222.7237,49479.9188,-0.656543,-0.498731,0.240369
163,4,159.7666,195.8256,-102262.7459,2.003159,1.333364,-0.334369
163,5,173.5131,196.5100,-32979.4583,0.547708,0.427016,-0.220358
163,6,175.9483,209.8659,262133.8488,-4.233729,-2.975839,0.297112
164,5,168.3959,194.8630,68564.4258,-1.208942,-0.902838,0.253200
